entity,hosp_num,match_score,matched_name,match_basis,match_confidence,reviewer_note
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,,0.574,,UNMATCHED,none,
ADVENTIST BEHAVIORAL HEALTH ROCKVILLE,4013,0.796,Adventist BH-Rockville,hscrc_name,medium,
ADVENTIST HEALTH CARE POTOMAC RIDGE,60,0.631,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,cms_name,medium,
ADVENTIST HEALTHCARE GERMANTOWN EMERGENCY CENTER,16,0.69,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,cms_name,medium,
ADVENTIST REHAB HOSPITAL OF MD ROCKVILLE,89,0.824,Adventist Rehab,hscrc_name,medium,
ADVENTIST REHAB HOSPITAL OF MD TAKOMA PARK,89,0.808,Adventist Rehab,hscrc_name,medium,
ALL SPECIALTY HOSPITALS,,0.475,,UNMATCHED,none,
BALTIMORE WASHINGTON MEDICAL CENTER,43,0.773,UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER,cms_name,medium,
BOWIE EMERGENCY CENTER,,0.538,,UNMATCHED,none,
BRADDOCK HOSPITAL,,0.545,,UNMATCHED,none,
CARROLL COUNTY GENERAL HOSPITAL,33,0.808,Carroll,short_name,medium,
CHESAPEAKE YOUTH CENTER,3028,0.683,Chesapeake Rehab,name_history,medium,
CHESTER RIVER HOSPITAL,,0.615,,UNMATCHED,none,
CHESTER RIVER HOSPITAL CENTER,,0.567,,UNMATCHED,none,
CIVISTA MEDICAL CENTER,,0.58,,UNMATCHED,none,
DORCHESTER GENERAL HOSPITAL,10,0.685,UM-Dorchester,name_history,medium,
EDWARD MCCREADY MEMORIAL HOSPITAL,,0.613,,UNMATCHED,none,
FORT WASHINGTON MEDICAL CENTER,60,0.767,Ft. Washington,short_name,medium,
FORT WASHINGTON MEDICAL CENTER ADVENTIST HEALTHCARE,60,0.673,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,cms_name,medium,
GARRETT COUNTY MEMORIAL HOSPITAL,17,0.808,Garrett,hscrc_name,medium,
GERMANTOWN EMERGENCY CENTER,87,0.664,Germantown ED,short_name,medium,
GOOD SAMARITAN HOSPITAL,2004,0.839,Good Sam,short_name,medium,
HARFORD MEMORIAL HOSPITAL,,0.612,,UNMATCHED,none,
J KENT MCNEW FAMILY MEDICAL CENTER,4019,0.83,McNew Family Medical Center,hscrc_name,medium,
JAMES LAWRENCE KERNAN HOSPITAL,,0.502,,UNMATCHED,none,
JOHNS HOPKINS SUBURBAN HOSPITAL,9,0.846,Johns Hopkins,short_name,medium,
LIFEBRIDGE HEALTH CARROLL HOSPITAL CENTER,33,0.805,Lifebridge- Carroll,hscrc_name,medium,
LIFEBRIDGE HEALTH GRACE MEDICAL CENTER,13,0.796,Lifebridge- Grace,hscrc_name,medium,
LIFEBRIDGE HEALTH NORTHWEST HOSPITAL CENTER,40,0.817,Lifebridge- Northwest,hscrc_name,medium,
LIFEBRIDGE HEALTH SINAI HOSPITAL,12,0.833,Lifebridge- Sinai,hscrc_name,medium,
MARYLAND GENERAL HOSPITAL,61,0.67,ATLANTIC GENERAL HOSPITAL,cms_name,medium,
MCCREADY HEALTH PAVILION,45,0.795,McCready,short_name,medium,
MEMORIAL HOSP AND MED CTR OF CUMBERLAND,,0.471,,UNMATCHED,none,
MEMORIAL HOSPITAL AT EASTON,37,0.682,Easton,short_name,medium,
MERGED WITH WASHINGTON,60,0.686,Ft. Washington,short_name,medium,
PRINCE GEORGE'S HOSPITAL CENTER,,0.583,,UNMATCHED,none,
PRINCE GEORGES HOSPITAL CENTER,,0.599,,UNMATCHED,none,
PRINCE GEORGES' HOSPITAL CENTER,,0.599,,UNMATCHED,none,
QUEEN ANNE EMERGENCY CENTER,88,0.629,Queen Anne's ED,short_name,medium,
QUEEN ANNE S EMERGENCY CENTER,88,0.697,Queen Anne's ED,short_name,medium,
QUEEN ANNE'S EMERGENCY CENTER,88,0.697,Queen Anne's ED,short_name,medium,
QUEEN ANNES EMERGENCY CENTER,88,0.663,Queen Anne's ED,short_name,medium,
SAINT JOSEPH MEDICAL CENTER,63,0.653,UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,cms_name,medium,
SAINT JOSEPHS MEDICAL CENTER,63,0.64,UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,cms_name,medium,
SAINT MARY'S HOSPITAL,28,0.795,MEDSTAR SAINT MARY'S HOSPITAL,cms_name,medium,
SHADY GROVE ADVENTIST HOSPITAL,5050,0.819,Shady Grove,short_name,medium,
ST LUKE INSTITUTE,,0.462,,UNMATCHED,none,
TIDALHEALTH MCCREADY PAVILION,45,0.651,Tidal- McCready,hscrc_name,medium,
UM BALTIMORE WASHINGTON,43,0.71,UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER,cms_name,medium,
UM BALTIMORE WASHINGTON MEDICAL CENTER,43,0.826,UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER,cms_name,medium,
UM BOWIE HEALTH CENTER,333,0.724,UM-Bowie ED,name_history,medium,
UM MEDICAL CENTER,,0.533,,UNMATCHED,none,
UM PRINCE GEORGE S HOSPITAL CENTER,,0.541,,UNMATCHED,none,
UM QUEEN ANNE'S FREESTANDING EMERGENCY,88,0.643,UM-Queen Anne's ED,name_history,medium,
UM QUEEN ANNE'S FREESTANDING EMERGENCY CENTER,,0.607,,UNMATCHED,none,
UM SAINT JOSEPH,63,0.75,UM-St. Joe,name_history,medium,
UM SHORE MEDICAL CENTER AT CAMBRIDGE,10,0.666,UMMS- Cambridge,hscrc_name,medium,
UM SHORE MEDICAL CENTER CAMBRIDGE,10,0.683,UMMS- Cambridge,hscrc_name,medium,
UM SHORE MEDICAL CHESTERTOWN,30,0.758,UMMS- Chestertown,hscrc_name,medium,
UM SHORE MEDICAL DORCHESTER,10,0.731,UM-Dorchester,name_history,medium,
UM SHORE MEDICAL EASTON,37,0.694,UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON,cms_name,medium,
UM SHORE REGIONAL HEALTH AT CAMBRIDGE,10,0.661,UMMS- Cambridge,hscrc_name,medium,
UM SHORE REGIONAL HEALTH AT CHESTERTOWN,30,0.705,UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN,cms_name,medium,
UM SHORE REGIONAL HEALTH AT DORCHESTER,10,0.661,UM-Dorchester,name_history,medium,
UM SHORE REGIONAL HEALTH AT EASTON,37,0.687,UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON,cms_name,medium,
UM SHORE REGIONAL HEALTH CHESTERTOWN,30,0.705,UMMS- Chestertown,hscrc_name,medium,
UM SHORE REGIONAL HEALTH EASTON,37,0.674,UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON,cms_name,medium,
UM ST JOSEPH MEDICAL CENTER,63,0.74,UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,cms_name,medium,
UNION MEMORIAL HOSPITAL,24,0.832,Union Mem,short_name,medium,
UNIVERSITY MEIMS,,0.609,,UNMATCHED,none,
UNIVERSITY MIEMSS,,0.593,,UNMATCHED,none,
UNIVERSITY UMCC,2,0.622,UNIVERSITY OF MARYLAND MEDICAL CENTER,cms_name,medium,
WASHINGTON COUNTY HOSPITAL,16,0.677,Washington Adventist,name_history,medium,
WHITE OAK HOSPITAL ADVENTIST,16,0.808,White Oak,short_name,medium,
WVU MEDICINE GARRETT REGIONAL MEDICAL CENTER,17,0.673,GARRETT REGIONAL MEDICAL CENTER,cms_name,medium,
