report_fy,source_file,entity_key,fiscal_year,field,n_distinct_values,min_value,max_value,n_rows,value_used
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,excess_profit,2,609600.0,10389462.0,2,10389462.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,gross_revenue_total,2,55790100.0,275684816.0,2,275684816.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,inpatient_admissions,2,1108.0,14798.0,2,14798.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,net_operating_revenue_total,2,44882100.0,232017421.0,2,232017421.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,net_patient_revenue_total,2,44767300.0,228099714.0,2,228099714.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,non_operating_profit,2,-5200.0,7010839.0,2,7010839.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,operating_expenses_total,2,44267300.0,228638798.0,2,228638798.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,operating_profit_total,2,614800.0,3378623.0,2,3378623.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2005,other_operating_revenue_total,2,114800.0,3917707.0,2,3917707.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,excess_profit,2,3540400.0,12333199.0,2,12333199.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,gross_revenue_total,2,60749400.0,320907647.0,2,320907647.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,inpatient_admissions,2,1114.0,15933.0,2,15933.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,net_operating_revenue_total,2,51301900.0,266254243.0,2,266254243.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,net_patient_revenue_total,2,51146100.0,261181936.0,2,261181936.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,non_operating_profit,2,893300.0,7480871.0,2,7480871.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,operating_expenses_total,2,48654800.0,261401915.0,2,261401915.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,operating_profit_total,2,2647100.0,4852328.0,2,4852328.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2006,other_operating_revenue_total,2,155800.0,5072307.0,2,5072307.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,excess_profit,2,2351900.0,15420324.0,2,15420324.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,gross_revenue_total,2,65540100.0,341654608.0,2,341654608.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,inpatient_admissions,2,1094.0,16568.0,2,16568.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,net_operating_revenue_total,2,54559600.0,287504202.0,2,287504202.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,net_patient_revenue_total,2,54046600.0,282466588.0,2,282466588.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,non_operating_profit,2,1115000.0,10854722.0,2,10854722.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,operating_expenses_total,2,53322700.0,282938600.0,2,282938600.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,operating_profit_total,2,1236900.0,4565602.0,2,4565602.0
2007,Financial Disclosure FY2007.pdf,ALL SPECIALTY HOSPITALS,2007,other_operating_revenue_total,2,513000.0,5037614.0,2,5037614.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,excess_profit,2,2351900.0,20112281.0,2,20112281.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,gross_revenue_total,2,65540100.0,341654608.0,2,341654608.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,inpatient_admissions,2,1094.0,16568.0,2,16568.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,net_operating_revenue_total,2,54559600.0,287516959.0,2,287516959.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,net_patient_revenue_total,2,54046600.0,282523345.0,2,282523345.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,non_operating_profit,2,1115000.0,15533922.0,2,15533922.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,operating_expenses_total,2,53322700.0,282938600.0,2,282938600.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,operating_profit_total,2,1236900.0,4578359.0,2,4578359.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2007,other_operating_revenue_total,2,513000.0,4993614.0,2,4993614.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,excess_profit,2,-1249800.0,6838264.0,2,6838264.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,gross_revenue_total,2,67435100.0,362312774.0,2,362312774.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,inpatient_admissions,2,979.0,16212.0,2,16212.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,net_operating_revenue_total,2,54796200.0,301315121.0,2,301315121.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,net_patient_revenue_total,2,54473100.0,296493374.0,2,296493374.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,non_operating_profit,2,-3608330.0,-101700.0,2,-101700.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,operating_expenses_total,2,55944300.0,290868527.0,2,290868527.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,operating_profit_total,2,-1148100.0,10446594.0,2,10446594.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2008,other_operating_revenue_total,2,323100.0,4821747.0,2,4821747.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,excess_profit,2,-9312298.0,-5345200.0,2,-5345200.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,gross_revenue_total,2,61408500.0,372903294.0,2,372903294.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,inpatient_admissions,2,900.0,16659.0,2,16659.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,net_operating_revenue_total,2,50560800.0,304587930.0,2,304587930.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,net_patient_revenue_total,2,50631300.0,301960072.0,2,301960072.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,non_operating_profit,2,-11965618.0,-1447200.0,2,-1447200.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,operating_expenses_total,2,54458800.0,301934610.0,2,301934610.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,operating_profit_total,2,-3898000.0,2653320.0,2,2653320.0
2009,HSCRC_DisclosureReport-FY09.pdf,ALL SPECIALTY HOSPITALS,2009,other_operating_revenue_total,2,-70500.0,2627858.0,2,2627858.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,excess_profit,2,-5345200.0,-4602824.0,2,-4602824.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,gross_revenue_total,2,61408500.0,373612874.0,2,373612874.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,inpatient_admissions,2,900.0,16669.0,2,16669.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,net_operating_revenue_total,2,50560800.0,305376749.0,2,305376749.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,net_patient_revenue_total,2,50631300.0,302717702.0,2,302717702.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,non_operating_profit,2,-8322930.0,-1447200.0,2,-1447200.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,operating_expenses_total,2,54458800.0,301656643.0,2,301656643.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,operating_profit_total,2,-3898000.0,3720106.0,2,3720106.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2009,other_operating_revenue_total,2,-70500.0,2659047.0,2,2659047.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,excess_profit,2,-1417554.0,5799301.0,2,5799301.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,gross_revenue_total,2,59517400.0,390881594.0,2,390881594.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,inpatient_admissions,2,891.0,17203.0,2,17203.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,net_operating_revenue_total,2,48937287.0,309686463.0,2,309686463.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,net_patient_revenue_total,2,48818390.0,307941409.0,2,307941409.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,non_operating_profit,2,176054.0,2064311.0,2,2064311.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,operating_expenses_total,2,50530895.0,305951473.0,2,305951473.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,operating_profit_total,2,-1593607.0,3734990.0,2,3734990.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2010,other_operating_revenue_total,2,118898.0,1745054.0,2,1745054.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,excess_profit,2,-3220000.0,12322590.0,2,12322590.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,gross_revenue_total,2,57787100.0,361591178.0,2,361591178.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,inpatient_admissions,2,910.0,17040.0,2,17040.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,net_operating_revenue_total,2,48134630.0,315209910.0,2,315209910.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,net_patient_revenue_total,2,48149100.0,312426693.0,2,312426693.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,non_operating_profit,2,-1032297.0,6684143.0,2,6684143.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,operating_expenses_total,2,50322333.0,309571662.0,2,309571662.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,operating_profit_total,2,-2187703.0,5638447.0,2,5638447.0
2011,HSCRC-DisclosureReport-FY2011.pdf,ALL SPECIALTY HOSPITALS,2011,other_operating_revenue_total,2,-14470.0,2783217.0,2,2783217.0
2012,hscrc-disclosure-report-fy-2012.pdf,ALL ACUTE HOSPITALS,2010,other_operating_revenue_regulated,3,121582218.0,11499889233.0,3,11499889233.0
2012,hscrc-disclosure-report-fy-2012.pdf,ALL ACUTE HOSPITALS,2010,other_operating_revenue_total,3,497174154.0,12605405600.0,3,12605405600.0
2012,hscrc-disclosure-report-fy-2012.pdf,ALL ACUTE HOSPITALS,2010,other_operating_revenue_unregulated,2,375591936.0,1105516367.0,2,1105516367.0
2012,hscrc-disclosure-report-fy-2012.pdf,ALL ACUTE HOSPITALS,2011,other_operating_revenue_regulated,3,133023987.0,12055926369.0,3,12055926369.0
2012,hscrc-disclosure-report-fy-2012.pdf,ALL ACUTE HOSPITALS,2011,other_operating_revenue_total,3,517319731.0,13183865472.0,3,13183865472.0
2012,hscrc-disclosure-report-fy-2012.pdf,ALL ACUTE HOSPITALS,2011,other_operating_revenue_unregulated,2,384295744.0,1127939103.0,2,1127939103.0
2012,hscrc-disclosure-report-fy-2012.pdf,ALL ACUTE HOSPITALS,2012,other_operating_revenue_regulated,3,153760532.0,12429743200.0,3,12429743200.0
2012,hscrc-disclosure-report-fy-2012.pdf,ALL ACUTE HOSPITALS,2012,other_operating_revenue_total,3,555158830.0,13622630646.0,3,13622630646.0
