rate_year,hospid,md_provider_number,hospital_name,mid_year_target,year_end_target,source_file
2019,1.0,210001,Meritus Medical Center,185075342.2192,370256624.1269,ry_2019_05_01_19_final__mid_final_targets.csv
2019,2.0,210002,University of Maryland Medical Center,772308163.4819772,1557358104.5824642,ry_2019_05_01_19_final__mid_final_targets.csv
2019,3.0,210003,University of Maryland Capital Region Medical Center,149930762.69682634,346274822.0177461,ry_2019_05_01_19_final__mid_final_targets.csv
2019,4.0,210004,Holy Cross Hospital,259873674.8210626,519805327.83976674,ry_2019_05_01_19_final__mid_final_targets.csv
2019,5.0,210005,Frederick Health Hospital,176198760.0131,354281013.4094,ry_2019_05_01_19_final__mid_final_targets.csv
2019,6.0,210006,University of Maryland Harford Memorial Hospital,56250283.0,113111368.0,ry_2019_05_01_19_final__mid_final_targets.csv
2019,8.0,210008,Mercy Medical Center ,271265999.43,555862505.677,ry_2019_05_01_19_final__mid_final_targets.csv
2019,9.0,210009,Johns Hopkins Hospital,1219667013.6093488,2476494742.0612173,ry_2019_05_01_19_final__mid_final_targets.csv
2019,10.0,210010,University of Maryland Shore Medical Center at Cambridge,25504204.6964732,48195994.0,ry_2019_05_01_19_final__mid_final_targets.csv
2019,11.0,210011,Ascension St. Agnes Hospital,217952142.17682335,430902898.65441,ry_2019_05_01_19_final__mid_final_targets.csv
2019,12.0,210012,Sinai Hospital of Baltimore ,394192607.0686792,789968926.992636,ry_2019_05_01_19_final__mid_final_targets.csv
2019,13.0,210013,Grace Medical Center,59081837.62721075,115481386.5590679,ry_2019_05_01_19_final__mid_final_targets.csv
2019,15.0,210015,MedStar Franklin Square Hospital Center,277225617.0903247,555813121.9830257,ry_2019_05_01_19_final__mid_final_targets.csv
2019,16.0,210016,Adventist White Oak,141038205.0,288381043.0,ry_2019_05_01_19_final__mid_final_targets.csv
2019,17.0,210017,Garrett County Memorial Hospital,31300156.7169,63631807.0651,ry_2019_05_01_19_final__mid_final_targets.csv
