hosp_num,fiscal_year,fy_end_month,hospital_key,match_score,match_basis,equivalent_inpatient_adms_eipa_regulated_services,equivalent_inpatient_adms_eipa_total,gross_patient_revenue_regulated_services,gross_patient_revenue_total,gross_patient_revenue_unregulated_services,inpatient_readmission_charges,net_operating_profit_loss_regulated_services,net_operating_profit_loss_total,net_operating_profit_loss_unregulated_services,net_patient_revenue_npr_regulated_services,net_patient_revenue_npr_total,net_patient_revenue_npr_unregulated_services,nor_per_eipa_regulated_services,nor_per_eipa_total,npr_per_eipa_regulated_services,npr_per_eipa_total,operating_expenses_per_eipa_regulated_services,operating_expenses_per_eipa_total,other_operating_revenue_regulated_services,other_operating_revenue_total,other_operating_revenue_unregulated_services,potentially_avoidable_utilization_costs,risk_adjusted_ppc_rate,risk_adjusted_readmission_percent,total_direct_graduate_medical_education,total_direct_medical_education,total_excess_profit_loss,total_excess_profit_loss_net_operating_profit_of_regulated_nor,total_excess_profit_loss_net_total_operating_profit_of_total_nor,total_excess_profit_loss_total_excess_profit_of_total_revenue,total_non_operating_profit_loss,total_non_operating_profit_loss_change_in_net_operating_profit_regulated,total_non_operating_profit_loss_change_in_net_operating_profit_total,total_non_operating_profit_loss_change_in_nor_per_eipa_regulated,total_non_operating_profit_loss_change_in_npr_per_eipa_regulated,total_non_operating_profit_loss_change_in_oper_expense_per_eipa_regulated,total_non_operating_profit_loss_change_in_total_excess_profit,total_non_operating_profit_loss_net_operating_profit_of_regulated_nor,total_non_operating_profit_loss_net_total_operating_profit_of_total_nor,total_non_operating_profit_loss_non_operating_expenses,total_non_operating_profit_loss_non_operating_revenue,total_non_operating_profit_loss_total_excess_profit,total_non_operating_profit_loss_total_excess_profit_of_total_revenue,total_operating_expenses_regulated_services,total_operating_expenses_total,total_regulated_inpatient_admissions,total_regulated_outpatient_visits,net_operating_profit_of_regulated_nor,net_total_operating_profit_of_total_nor,total_excess_profit_of_total_revenue
1,2009,June,MERITUS MEDICAL CENTER,1.0,cms_name,24851.0,29102.0,243018300.0,284584700.0,41566400.0,,4634953.0,3773700.0,-861253.0,203634400.0,230865600.0,27231200.0,8273.02,8077.77,8194.1,7932.99,8086.52,7948.1,205595800.0,235079200.0,29483400.0,,,,,,,,,,-4587500.0,-50.72,-50.65,2.18,1.65,4.93,-109.44,2.25,1.61,147500.0,-4440000.0,-813800.0,-0.35,200960847.0,231305500.0,,,2.25,1.61,-0.35
1,2010,June,MERITUS MEDICAL CENTER,1.0,cms_name,24861.0,29535.0,250295900.0,297358400.0,47062500.0,,2271165.0,-166300.0,-2437465.0,209148200.0,237455700.0,28307500.0,8578.96,8246.77,8412.85,8039.79,8487.61,8252.4,4129800.0,243568700.0,1983200.0,,,,,,,,,,3183300.0,-51.0,-104.41,3.7,2.67,4.96,470.73,1.06,-0.07,170600.0,3353900.0,3017000.0,1.22,211006835.0,243735000.0,,,1.06,-0.07,1.22
1,2011,June,MERITUS MEDICAL CENTER,1.0,cms_name,25377.0,29796.0,275699700.0,323727900.0,48028200.0,,8970292.0,7133900.0,-1836392.0,232040400.0,260918600.0,28878200.0,9351.14,9026.48,9143.74,8756.81,8997.66,8787.06,5263297.0,268953800.0,2771903.0,,,,,,,,,,5176800.0,294.96,4389.78,9.0,8.69,6.01,308.04,3.78,2.65,77500.0,5254300.0,12310700.0,4.49,228333405.0,261819900.0,,,3.78,2.65,4.49
1,2012,June,MERITUS MEDICAL CENTER,1.0,cms_name,25130.0,29975.0,295465200.0,352429600.0,56964400.0,,3860038.0,2158500.0,-1701538.0,244455300.0,276163500.0,31708200.0,10008.22,9545.02,9727.62,9213.13,9854.62,9473.01,251506800.0,9948400.0,34605100.0,,,,,,4712400.0,,,,2553900.0,-56.97,-69.74,7.03,6.39,9.52,-61.72,1.53,0.75,0.0,2553900.0,4712400.0,1.63,247646762.0,283953400.0,15558.0,111239.0,1.53,0.75,1.63
1,2013,June,MERITUS MEDICAL CENTER,1.0,cms_name,25234.0,29900.0,301350700.0,357561600.0,56210900.0,27005043.0,10308554.0,11064428.0,755874.0,247469100.0,281423500.0,33954400.0,10117.21,9931.34,9806.89,9412.04,9708.7,9561.3,255299800.0,296950800.0,41651000.0,44766008.0,1.38,11.64,0.0,,9116228.0,4.04,3.73,2.98,-1948200.0,167.06,412.6,1.09,0.81,-1.48,93.45,4.04,3.73,11291100.0,9342900.0,9116228.0,2.98,244991246.0,285886372.0,15846.0,107718.0,4.04,3.73,2.98
1,2014,June,MERITUS MEDICAL CENTER,1.0,cms_name,,,305141600.0,364612200.0,59470600.0,23314759.0,4717300.0,4496900.0,-220400.0,247293500.0,283797700.0,36504200.0,,,,,,,251471700.0,13046300.0,8868100.0,40276326.0,1.04,11.89,0.0,0.0,18982900.0,1.88,1.51,6.1,14486000.0,,,,,,,,,0.0,14486000.0,,,246754400.0,292347100.0,16542.0,106662.0,1.88,1.51,6.1
1,2015,June,MERITUS MEDICAL CENTER,1.0,cms_name,,,312302400.0,376337000.0,64034600.0,23116032.0,12342463.0,16259882.0,3917419.0,256037471.0,299284598.0,43247127.0,,,,,,,6200021.0,15809813.0,9609792.0,40497213.0,0.96,12.06,0.0,0.0,18328621.0,4.71,5.16,5.78,2068739.0,,,,,,,,,0.0,2068739.0,,,249895029.0,298834529.0,,,4.71,5.16,5.78
1,2016,June,MERITUS MEDICAL CENTER,1.0,cms_name,,,321748760.0,391525472.0,69776712.0,22522659.0,12719580.0,13258370.0,538790.0,261006413.0,305095532.0,44089120.0,,,,,,,260540781.0,312389083.0,51848303.0,39503580.0,0.7,11.4,,0.0,-20927920.0,4.88,4.24,-6.7,-34186290.0,,,,,,,,,34186290.0,0.0,,,247821201.0,299130713.0,,,4.88,4.24,-6.7
1,2017,June,MERITUS MEDICAL CENTER,1.0,cms_name,,,325953100.0,396562100.0,70609000.0,22992932.0,32709205.0,24187689.0,-8521516.0,279636188.0,319198689.0,39562501.0,,,,,,,285454191.0,333351689.0,47897498.0,41457269.0,0.61,11.37,,0.0,38261089.0,11.46,7.26,11.48,14073400.0,,,,,,,,,-14073400.0,0.0,,,252744986.0,309164000.0,,,11.46,7.26,11.48
1,2018,June,MERITUS MEDICAL CENTER,1.0,cms_name,,,334316871.0,409274971.0,74958100.0,27623311.0,32690830.0,22194700.0,-10496130.0,278234830.0,323835900.0,45601070.0,,,,,,,7558200.0,336929900.0,51136870.0,47618055.0,0.62,11.1,,0.0,29390800.0,11.44,6.59,8.54,7196100.0,,,,,,,,,197900.0,7394000.0,,,253102200.0,314735200.0,,,11.44,6.59,8.54
2,2007,June,UNIVERSITY OF MARYLAND MEDICAL CENTER,1.0,cms_name,34164.0,34651.0,850019727.0,862138262.0,12118535.0,,42206648.0,29927423.0,-12279225.0,732145727.0,743235662.0,11089935.0,21931.82,22603.47,21430.54,21449.35,20696.39,21739.78,749271206.0,783226661.0,33955455.0,,,,,,,,,,9060000.0,-19.27,-16.23,9.15,9.72,11.75,18.58,5.63,3.82,0.0,9060000.0,38987423.0,4.92,707064558.0,753299238.0,,,5.63,3.82,4.92
2,2008,June,UNIVERSITY OF MARYLAND MEDICAL CENTER,1.0,cms_name,33724.0,34156.0,877294500.0,888541670.0,11247170.0,,13118941.0,3113578.0,-10005363.0,765351210.0,776598380.0,11247170.0,23369.4,24073.63,22694.5,22736.52,22980.39,23982.47,788111505.0,822269179.0,34157674.0,,,,,,,,,,-59345000.0,-68.92,-89.6,6.55,5.9,11.04,-244.23,1.66,0.38,0.0,-59345000.0,-56231422.0,-7.37,774992564.0,819155601.0,,,1.66,0.38,-7.37
2,2009,June,UNIVERSITY OF MARYLAND MEDICAL CENTER,1.0,cms_name,35291.0,35803.0,940100100.0,953752912.0,13652812.0,,78252327.0,63562452.0,-14689875.0,819239930.0,831876742.0,12636812.0,23757.79,24505.05,23213.99,23234.64,21540.43,22729.73,838431058.0,877361852.0,38930794.0,,,,,,,,,,-55439000.0,496.48,1941.46,1.66,2.29,-6.27,114.45,9.33,7.24,0.0,-55439000.0,8123452.0,0.99,760178731.0,813799400.0,,,9.33,7.24,0.99
2,2010,June,UNIVERSITY OF MARYLAND MEDICAL CENTER,1.0,cms_name,37747.0,38201.0,1013735200.0,1025919843.0,12184643.0,,90181648.0,72187993.0,-17993655.0,873940200.0,886124843.0,12184643.0,23553.37,24412.18,23152.48,23196.47,21164.27,22522.48,889072548.0,932566000.0,43493452.0,,,,,,,,,,-23281000.0,15.24,13.57,-0.86,-0.26,-1.75,502.05,10.14,7.74,0.0,-23281000.0,48906993.0,5.38,798890900.0,860378007.0,,,10.14,7.74,5.38
2,2011,June,UNIVERSITY OF MARYLAND MEDICAL CENTER,1.0,cms_name,39823.0,40204.0,1113137000.0,1123800168.0,10663168.0,,91927290.0,75214313.0,-16712977.0,961486655.0,971498213.0,10011558.0,24491.13,25424.23,24144.0,24163.92,22182.73,23553.43,13823963.0,50670000.0,36846037.0,,,,,,,,,,61751700.0,1.94,4.19,3.98,4.28,4.81,180.05,9.43,7.36,-2894700.0,58857000.0,136966013.0,12.67,883383327.0,946953900.0,,,9.43,7.36,12.67
