report_fy,file,chars,status,n_entities,n_records,fys
FY2003,Financial Disclosure FY2003.pdf,133755,NO_BLOCKS_PARSED,,,
FY2004,Financial Disclosure FY2004.pdf,22883,NO_BLOCKS_PARSED,,,
FY2005,Financial Disclosure FY2005.pdf,119180,NO_BLOCKS_PARSED,,,
FY2006,Financial Disclosure FY2006.pdf,26699,NO_BLOCKS_PARSED,,,
FY2007,Financial Disclosure FY2007.pdf,20155,OK,11.0,360.0,"[2005, 2006, 2007]"
FY2008,HSCRC_DisclosureReport-FY08.pdf,99,NO_TEXT_LAYER (scanned image; needs OCR),,,
FY2009,HSCRC_DisclosureReport-FY09.pdf,390960,OK,60.0,3162.0,"[2007, 2008, 2009]"
FY2010,HSCRC_DisclosureReport-FY2010.pdf,405262,OK,57.0,3072.0,"[2008, 2009, 2010]"
FY2011,HSCRC-DisclosureReport-FY2011.pdf,391425,OK,60.0,3050.0,"[2009, 2010, 2011]"
FY2012,hscrc-disclosure-report-fy-2012.pdf,391063,OK,62.0,4596.0,"[2010, 2011, 2012]"
FY2013,HSCRC-Disclosure-Report-FY-2013.pdf,409299,OK,62.0,3148.0,"[2011, 2012, 2013]"
FY2014,HSCRC-Financial-Disclosure-Report-FY-2014.pdf,301558,OK,57.0,2941.0,"[2012, 2013, 2014]"
FY2015,HSCRC-Disclosure-Report-FY-2015-rev1.pdf,291322,OK,51.0,3410.0,"[2012, 2013, 2014, 2015]"
FY2016,HSCRC-Disclosure-Report-FY-2016.pdf,315386,OK,53.0,3638.0,"[2013, 2014, 2015, 2016]"
FY2017,HSCRCDisclosureReportFY2017.pdf,322169,OK,59.0,3687.0,"[2014, 2015, 2016, 2017]"
FY2018,HSCRC-Disclosure-Report-FY-2018.pdf,325407,OK,59.0,3660.0,"[2015, 2016, 2017, 2018]"
FY2019,Hospital Financial Condition Report FY 2019 FINAL.pdf,266394,OK,53.0,3378.0,"[2016, 2017, 2018, 2019]"
FY2020,Hospital Financial Condition Report FY 2020.pdf,219527,OK,57.0,3495.0,"[2017, 2018, 2019, 2020]"
FY2021,Hospital Financial Condition Report FY 2021.pdf,220207,OK,55.0,2741.0,"[2018, 2019, 2020, 2021]"
FY2022,Final Hospital Financial Condition Report FY 2022.pdf,226506,OK,58.0,3012.0,"[2019, 2020, 2021, 2022]"
FY2023,Final Hospital Financial Condition Report FY 2023.pdf,230493,OK,56.0,3645.0,"[2020, 2021, 2022, 2023]"
FY2024,Final Hospital Financial Condition Report FY 2024 (2).pdf,231603,OK,59.0,3846.0,"[2021, 2022, 2023, 2024]"
FY2025,Hospital Financial Condition Report FY 2025.pdf,227451,OK,59.0,3084.0,"[2022, 2023, 2024, 2025]"
