entity,is_statewide_total,fiscal_year,eipa_regulated,eipa_total,excess_profit,gross_revenue_regulated,gross_revenue_total,gross_revenue_unregulated,inpatient_admissions,net_operating_revenue_regulated,net_operating_revenue_total,net_operating_revenue_unregulated,net_patient_revenue_regulated,net_patient_revenue_total,net_patient_revenue_unregulated,non_operating_profit,nor_per_eipa_regulated,nor_per_eipa_total,npr_per_eipa_regulated,npr_per_eipa_total,operating_expenses_regulated,operating_expenses_total,operating_expenses_unregulated,operating_profit_regulated,operating_profit_total,operating_profit_unregulated,opex_per_eipa_regulated,opex_per_eipa_total,other_operating_revenue_regulated,other_operating_revenue_total,other_operating_revenue_unregulated,pct_change_excess_profit,pct_change_nor_per_eipa_regulated,pct_change_npr_per_eipa_regulated,pct_change_operating_profit_regulated,pct_change_operating_profit_total,pct_excess_profit_of_total_revenue,pct_operating_profit_of_regulated_nor,pct_operating_profit_of_total_nor,reported_in_reports,n_source_reports,period_labels,name_variants,hosp_num,match_score,matched_name,match_basis,match_confidence,margin_regulated_pct,margin_total_pct
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2007,,,-819368.0,,2842250.0,,260.0,,2702504.0,,,2702504.0,,0.0,,,,,,3521872.0,,,-819368.0,,,,,0.0,,,,,,,,,,FY2009,1,YEAR 2007,Adventist Behavioral Health - Eastern Shore,,0.574,,UNMATCHED,none,,-30.32
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2008,,,1374513.0,,3148300.0,,296.0,,2652328.0,,,2652328.0,,0.0,,,,,,1277815.0,,,1374513.0,,,,,0.0,,,,,,,,,,FY2009;FY2010,2,YEAR 2008,Adventist Behavioral Health - Eastern Shore,,0.574,,UNMATCHED,none,,51.82
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2009,,,1468325.0,,3026700.0,,309.0,,2535056.0,,,2535056.0,,0.0,,,,,,1066731.0,,,1468325.0,,,,,0.0,,,,,,,,,,FY2009;FY2010;FY2011,3,YEAR 2009,Adventist Behavioral Health - Eastern Shore,,0.574,,UNMATCHED,none,,57.92
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2010,,,1507379.0,,2608700.0,,300.0,,2316166.0,,,2316166.0,,0.0,,,,,,808787.0,,,1507379.0,,,,,0.0,,,,,,,,,,FY2010;FY2011;FY2012,3,YEAR 2010,Adventist Behavioral Health - Eastern Shore,,0.574,,UNMATCHED,none,,65.08
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2011,,,1336135.0,,2498500.0,,342.0,,2241665.0,,,2241665.0,,0.0,,,,,,905530.0,,,1336135.0,,,,,0.0,,,,,,,,,,FY2011;FY2012;FY2013,3,YEAR 2011,Adventist Behavioral Health - Eastern Shore,,0.574,,UNMATCHED,none,,59.6
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2012,,,1101744.0,,2457650.0,,304.0,,2101900.0,,,2101900.0,,0.0,,,,,,1000156.0,,,1101744.0,,,,,0.0,,,,,,,,,,FY2012;FY2013;FY2014,3,YEAR 2012,Adventist Behavioral Health - Eastern Shore;Adventist Behavioral Health – Eastern Shore,,0.574,,UNMATCHED,none,,52.42
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2013,,,1429463.0,,2508000.0,,271.0,,2045654.0,,,2045654.0,,0.0,,,,,,616191.0,,,1429463.0,,,,,0.0,,,,,,,,,,FY2013;FY2014,2,YEAR 2013,Adventist Behavioral Health - Eastern Shore;Adventist Behavioral Health – Eastern Shore,,0.574,,UNMATCHED,none,,69.88
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2014,,,1319989.0,,2409200.0,,297.0,,1896662.0,,,1896662.0,,0.0,,,,,,576673.0,,,1319989.0,,,,,0.0,,,,,,,,,,FY2014;FY2017,2,CY 2014;YEAR 2014,Adventist Behavioral Health – Eastern Shore,,0.574,,UNMATCHED,none,,69.6
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2015,,,1985041.0,,3245821.0,,302.0,,2780319.0,,,2780319.0,,0.0,,,,,,795278.0,,,1985041.0,,,,,0.0,,,,,,,,,,FY2017,1,CY 2015,Adventist Behavioral Health – Eastern Shore,,0.574,,UNMATCHED,none,,71.4
ADVENTIST BEHAVIORAL HEALTH EASTERN SHORE,False,2016,,,-3575588.0,,3767827.0,,294.0,,3114028.0,,,3102887.0,,0.0,,,,,,6689616.0,,,-3575588.0,,,,,11141.0,,,,,,,,,,FY2017,1,CY 2016,Adventist Behavioral Health – Eastern Shore,,0.574,,UNMATCHED,none,,-114.82
