entity,is_statewide_total,fiscal_year,eipa_regulated,eipa_total,excess_profit,gross_revenue_regulated,gross_revenue_total,gross_revenue_unregulated,inpatient_admissions,net_operating_revenue_regulated,net_operating_revenue_total,net_operating_revenue_unregulated,net_patient_revenue_regulated,net_patient_revenue_total,net_patient_revenue_unregulated,non_operating_profit,nor_per_eipa_regulated,nor_per_eipa_total,npr_per_eipa_regulated,npr_per_eipa_total,operating_expenses_regulated,operating_expenses_total,operating_expenses_unregulated,operating_profit_regulated,operating_profit_total,operating_profit_unregulated,opex_per_eipa_regulated,opex_per_eipa_total,other_operating_revenue_regulated,other_operating_revenue_total,other_operating_revenue_unregulated,pct_change_excess_profit,pct_change_nor_per_eipa_regulated,pct_change_npr_per_eipa_regulated,pct_change_operating_profit_regulated,pct_change_operating_profit_total,pct_excess_profit_of_total_revenue,pct_operating_profit_of_regulated_nor,pct_operating_profit_of_total_nor,latest_report_fy,reported_in_reports,n_source_reports,period_labels,name_variants,margin_regulated_pct,margin_total_pct
ALL ACUTE HOSPITALS,True,2005,933558.0,1008864.0,368650149.0,9681250082.0,10675445671.0,994195589.0,,8460040439.0,9199687074.0,739646635.0,,,,99529166.0,9062.15,9118.86,8957.57,8838.27,8044819951.0,8930566091.0,,415220488.0,269120983.0,-146099505.0,8617.38,8852.1,97627822.0,283073343.0,185445521.0,40.64,4.36,4.21,,33.45,3.96,4.91,,2007,FY2007,1,Year 2005,ACUTE HOSPITALS TOTAL,4.91,2.93
ALL ACUTE HOSPITALS,True,2006,962564.0,1034447.0,463362286.0,10580421151.0,11656522641.0,1076101490.0,,9203751936.0,10011020638.0,807268702.0,,,,189992825.0,9561.7,9677.65,9440.38,9362.59,8742242743.0,9737651198.0,,461509193.0,273369440.0,-188139753.0,9082.25,9413.39,116785377.0,325912960.0,209127583.0,25.69,5.51,5.39,,1.58,4.54,5.01,,2007,FY2007,1,Year 2006,ACUTE HOSPITALS TOTAL,5.01,2.73
ALL ACUTE HOSPITALS,True,2007,979544.0,1050037.0,582490383.0,11502492521.0,12673096329.0,1170603808.0,,9982901465.0,10914298924.0,931397459.0,9833602955.0,10459541483.0,625938528.0,253382927.0,10191.38,10394.2,10038.96,9961.12,9446725486.0,10585191368.0,,536175979.0,329107456.0,-207068523.0,9644.0,10080.78,149298510.0,454757341.0,305458831.0,25.71,6.59,6.34,,20.39,5.21,5.37,,2009,FY2007;FY2009,2,Year 2007,ACUTE HOSPITALS TOTAL,5.37,3.02
ALL ACUTE HOSPITALS,True,2008,1011171.0,1083395.0,157454866.0,12357637229.0,13651224683.0,1293587454.0,,10704338397.0,11670282786.0,965944389.0,10559199171.0,11224501559.0,665302388.0,-113346967.0,10586.08,10771.96,10442.55,10360.49,10143272472.0,11399480954.0,,561065925.0,270801833.0,-290264092.0,10031.21,10522.0,145139226.0,445781227.0,300642001.0,-72.97,3.87,4.02,,-17.72,1.35,5.24,,2010,FY2009;FY2010,2,Year 2008,ACUTE HOSPITALS TOTAL,5.24,2.32
ALL ACUTE HOSPITALS,True,2009,1037501.0,1109990.0,78767107.0,13053765718.0,14405607680.0,1351841962.0,,11295812076.0,12325289372.0,1029477296.0,11171235693.0,11859371490.0,688135797.0,-240541204.0,10877.52,11103.96,10767.45,10684.21,10627077625.0,12005981091.0,,668734451.0,319308282.0,-349426169.0,10242.96,10816.3,124576383.0,465917883.0,341341500.0,-49.97,2.75,3.11,,17.91,0.65,5.92,,2011,FY2009;FY2010;FY2011,3,Year 2009,ACUTE HOSPITALS TOTAL;All Acute Hospitals,5.92,2.59
ALL ACUTE HOSPITALS,True,2010,1036000.0,1123111.0,,13386874793.0,14852739164.0,1465864371.0,,11499889233.0,12605405600.0,1105516367.0,11378307015.0,12108231446.0,729924431.0,,11100.28,11223.65,10982.92,10780.97,10784939280.0,12277293119.0,,714949953.0,328112481.0,-386837472.0,10410.17,10931.5,11499889233.0,12605405600.0,1105516367.0,,,,,,,,,2012,FY2010;FY2011;FY2012,3,Year 2010,ACUTE HOSPITALS TOTAL;All Acute Hospitals,6.22,2.6
ALL ACUTE HOSPITALS,True,2011,1018057.0,1093112.0,,14120316777.0,15658232919.0,1537916142.0,,12055926370.0,13183865473.0,1127939103.0,11922902382.0,12666545741.0,743643359.0,,11842.09,12060.86,11711.43,11587.6,11158496980.0,12719503353.0,,897429389.0,464362140.0,-433067249.0,10960.58,11636.05,133023987.0,517319732.0,384295744.0,,,,,,,,,2013,FY2011;FY2012;FY2013,3,June 2011;Year 2011,All Acute Hospitals,7.44,3.52
ALL ACUTE HOSPITALS,True,2012,1024332.0,1090011.0,,14871078832.0,16504680062.0,1633601230.0,,12429743200.0,13622630646.0,,12275982668.0,13067471815.0,791489147.0,,12134.49,12497.7,11984.38,11988.38,11649000119.0,13308115226.0,,780743081.0,314515420.0,-466227662.0,11372.29,12209.15,153760532.0,555158830.0,401398299.0,,,,,,,,,2013,FY2012;FY2013,2,June 2012;Year 2012,All Acute Hospitals,6.28,2.31
ALL ACUTE HOSPITALS,True,2013,,,,15264777897.0,16976024068.0,1711246172.0,,12721692687.0,13954087393.0,,12507457797.0,13291960839.0,784503042.0,,12407.71,12746.21,12198.77,12141.39,12044797691.0,13790417381.0,,,,,11747.52,12596.7,214234890.0,662126554.0,447891664.0,,,,,,,,,2013,FY2013,1,June 2013,All Acute Hospitals,,
ALL ACUTE HOSPITALS,True,2014,,,895903147.0,15674388126.0,17449962798.0,1775574672.0,,13042585197.0,14315944191.0,1273358994.0,12840037696.0,13643342677.0,803304981.0,484613004.0,,,,,12104941967.0,13904654153.0,,937643255.0,411290122.0,-526353133.0,,,202547501.0,672601514.0,470054013.0,,,,,,6.05,7.19,2.87,2016,FY2016,1,June 2014,ALL ACUTE HOSPITALS,7.19,2.87
