fiscal_year,hosp_num,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,kaiser_volume,kaiser_revenue,revenue_inpatient,revenue_outpatient,outpatient_revenue_share,inpatient_admissions,inpatient_admissions_medicare,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,1,54414558.0,325953071.0,43978983.0,10435575.0,276531484.0,49421587.0,24677912.0,4712388.0,135530366.0,20052593.0,22102486.0,2575426.0,120335327.0,15195039.0,,,,,192822272.0,133130799.0,0.40843547996515117,15794.0,7259.0,0.49010826557456294,0.5611296650493259,0.8483782133164808,0.11211538379524483,
2017,2,330974734.88,1389993091.17,299165201.71,31809532.59,1285117285.8,104875803.66,114277743.09,12214730.51,435533525.84,39904951.01,105907039.3,8370703.22,400138352.65,35395172.69,,,,,912970145.21,477022945.96,0.3431836812645414,22941.0,6753.63,0.338905663049171,0.38198875549963446,0.9245494052911278,0.08126853752930828,
2017,3,44582947.76,293522694.84,37354981.74,7227965.59,246460460.54,47062228.54,13533351.9,1926426.48,82762635.36,12452676.88,12847663.77,685685.96,78140470.51,4622164.85,,,,,219819474.04,73703220.8,0.2510988829677236,10948.0,3285.15,0.3358049205080009,0.3622904166891449,0.8396640698408219,0.055848449362379024,
2017,4,87317988.5,504632527.0,78080898.5,9237090.0,459067156.0,45565371.0,29696898.0,4035500.0,151216750.0,18605803.0,28459532.0,1237366.0,145252440.0,5964310.0,,,,,350774645.0,153857882.0,0.3048909330412623,26230.0,7203.0,0.32940006276554445,0.38033499319939307,0.9097058382841818,0.0394421252936596,
2017,5,60826766.0,346113467.0,57118033.0,3708733.0,328422027.0,17691440.0,25627057.0,1311267.0,138990381.57,5889368.0,24388129.0,1238928.0,132223020.0,6767361.57,,,,,226219134.0,119894333.0,0.3464018145240214,16319.0,7179.0,0.4232066370201168,0.4486684091519748,0.9488854329958794,0.04868942363894253,
2017,6,12689299.48,105314838.66,12393277.91,296021.09,102517190.73,2797647.71,6011655.4,63574.68,46134905.58,582047.7,5581581.6,430073.49,42854920.45,3279984.7600000002,,,,,49981806.26,55333032.4,0.5254058507238281,4429.04,2145.08,0.45002116475768156,0.4850738798610545,0.9734353870205132,0.07109551257913294,
2017,8,115519720.45,524091318.79,107514236.55,8005483.59,497256267.31,26835050.08,43766579.38,2766579.33,173290019.33,9324823.37,40233301.54,3533277.59,158211925.3,15078093.37,,,,,227263626.44,296827692.35,0.5663663596552282,13238.0,4156.0,0.3484923785223352,0.40707706053092,0.948796992970699,0.08701074319396579,
2017,9,518781980.65,2352909757.61,391516310.1,127265670.16,1841968276.01,510941481.6,125566136.5,44725541.51,538412993.86,173825229.42,122007246.44,3558889.8,519166897.84,19246096.02,,,,,1378228582.8,974681174.8100001,0.4142450307146695,45607.0,10498.0,0.292303076482017,0.3207175110225376,0.7828469706721792,0.03574597240311855,
2017,10,5744219.41,49851107.7,5645251.54,98967.04,48886190.15,964916.6,2991540.4,25901.62,24561520.85,211649.08,2739119.09,252420.93,22806280.34,1755240.03,,,,,26351501.91,23499605.79,0.4713958600763449,2524.0,1400.8600000000001,0.5024224791221535,0.5299215418131749,0.9806440098421323,0.07146300266662843,
2017,11,69756269.49,431097068.52,68731944.08,1024325.23,425502260.45,5594808.07,31224129.11,434874.77,187942605.17,1998680.03,27787712.59,3436416.27,166679971.65,21262633.52,,,,,242546007.94,188551060.58,0.4373749541543276,15579.0,7266.0,0.44169590302819267,0.4542884611798107,0.9870219296799964,0.11313365322762915,
