fiscal_year,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,n_hospitals,n_rate_centers,months_reported,revenue_inpatient,revenue_outpatient,outpatient_revenue_share,inpatient_admissions,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,3259907236.86,17136581709.62,2921711339.57,338195871.55,15661391649.94,1475189998.13,1221975186.95,144122530.96,6323934962.7,576447645.41,1141731342.91,80243827.93,5885072874.84,438862063.44,,,59,75,12,9849745404.69,7286836304.93,0.4252211105111688,564644.04,0.4037913809992886,0.41823953324897695,0.9139157339148992,0.06939699190907367,
2018,3285741793.97,17577247922.16,2954253293.76,331488470.0,16096843988.64,1480403871.18,1298060985.53,149047110.67,6576130272.97,585349334.7,1204056231.24,94004737.84,6031549121.59,544581126.91,,,58,78,12,10191544201.21,7385703720.95,0.4201854439134747,551398.0,0.4085353798304166,0.43938716706240993,0.9157772627389738,0.08281179117579265,
2019,3353307259.58,17839246543.6,3016802944.01,336504286.54,16334758562.38,1504487931.53,1329582541.59,149865801.81,6727656828.97,602215114.44,1207362619.54,122219907.09,6060222872.37,667433938.43,,,58,79,12,10327781869.8,7511464673.8,0.4210640093706654,531724.0,0.4118614182926601,0.44072568419821606,0.915664152208281,0.09920748863942629,
2020,3132841289.73,17796661051.87,2817358819.84,315482443.73,16327762016.78,1468898990.86,1275404527.63,141857641.62,6767109299.86,576671636.16,1136663111.67,138741402.51,5972824605.3,794284677.57,,,60,79,12,10597087059.61,7199573992.26,0.404546334353179,486681.0,0.41445418501968967,0.45269509820635173,0.9174620997270917,0.11737429415931445,
2021,3456282675.79,19241997401.89,3124892893.95,331389754.38,17672603280.35,1569394075.47,1387172508.94,155521397.88,7313672121.52,639916939.68,1194476633.63,192695861.67,6219316149.48,1094355954.34,,,58,80,12,11474343562.45,7767653839.44,0.4036823037236789,470914.0,0.4138423754270546,0.4439104174180364,0.9184391262111983,0.14963153066705429,
2022,3484273754.19,20047750456.95,3148936942.84,335336790.42,18445580790.26,1602169623.59,1418456274.81,159598428.04,7700939863.36,650222262.07,1177713882.71,240742381.38,6271949408.44,1428990434.26,,,61,79,12,11839303481.99,8208446974.96,0.40944478995718736,465812.0,0.4174951144626686,0.4504555983679705,0.9200823219477687,0.18556052373021864,
2023,3537781789.15,20704838708.89,3192049319.48,345732448.27,19068603452.6,1636235211.6,1459418887.8,167178772.73,8091986761.9,677308396.35,1170034990.31,289383871.61,6321115948.11,1770870856.27,,,60,78,12,12099881098.9,8604957609.99,0.4156012867801431,467836.0,0.42436179356368436,0.4572043667664089,0.92097329135013,0.21884253007035312,
2024,3684034396.55,21721008745.44,3326083491.76,357950881.75,20035055540.93,1685953170.42,1556468089.2,169549406.23,8684046735.86,701936840.19,1197108753.42,359359323.16,6498555631.12,2185491089.35,,,62,77,12,12912983345.77,8808025399.67,0.4055071982565778,479319.0,0.43344260853777994,0.46795821363353496,0.922381449946981,0.25166735691612624,
2025,3826699934.02,23018649505.15,3454277235.65,372422678.23,21251195359.42,1767454122.78,1615410514.7,179260984.47,9227813322.44,748315631.77,1203761656.21,411648847.43,6697754206.6,2530059107.76,,,61,74,12,13675000779.53,9343648725.62,0.40591646019587424,478325.0,0.4342256125535826,0.46765514302908123,0.9232164273870817,0.27417753473701684,
2026,4037166644.08,24708943619.46,3646772975.64,390393668.63,22856051453.58,1852892165.88,1746907116.01,189536982.65,10179484438.04,810376274.04,1283789621.5,463117494.48,7334020315.25,2845464122.63,289228666.09,2453164227.01,61,74,12,14479906030.71,10229037588.75,0.4139811780821713,477363.0,0.445373710271621,0.4790282059451266,0.925011275495375,0.27952929639508123,0.09928244059280479
