rate_center,center_name,schedule,category,unit_of_rate,source,fy_first,fy_last,total_revenue_all_years,inpatient_revenue_share,in_published_panel
ADD,Adolescent Neuropsychiatry - Dual Diagnosed,A26,Daily service,Patient days,CCD;SUB,2017.0,2026.0,79928084.0,1.0,True
ADM,Admission Services,C28,Ancillary,Patients,CCD;SUB,2017.0,2026.0,1545373230.61,1.0,True
AMR,Ambulance Services Rebundled,C26,Ancillary,HSCRC RVUs,CCD;SUB;S500,2017.0,2026.0,17927040.87,0.9211,True
ANS,Anesthesiology,C4,Ancillary,Minutes,CCD;SUB;S500,2017.0,2026.0,2048103890.96,0.5541,True
AUD,Audiology,C23,Ancillary,Maryland RVUs,CCD;SUB;S500,2017.0,2026.0,33562103.49,0.2279,True
BUR,Burn Care,A10,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,97919275.0,1.0,True
CAT,CAT Scanner,C11,Ancillary,HSCRC RVUs,CCD;SUB;S500,2017.0,2026.0,2511301713.55,0.3874,True
CCU,Coronary Care,A7,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,209244490.9,1.0,True
CDS,Drugs,C31,Ancillary,EIPA,CCD;SUB;S500,2017.0,2026.0,19613422110.89,0.4294,True
CDS-340,Drugs - 340B,,Ancillary,EIPA,derived from SUB 340B convention,2017.0,2026.0,189321073.76,0.0,True
CL,Clinic Services,B2,Ambulatory,RVUs,CCD;SUB;S500,2017.0,2026.0,5222414398.18,0.0217,True
CL-340,Clinic Services - 340B,,Ambulatory,RVUs,derived from SUB 340B convention,2017.0,2026.0,69503932.72,0.0001,True
CL-H49,Clinic Services - UM Upper Chesapeake (CCN 210049) 340B,,Ambulatory,RVUs,derived from SUB,2018.0,2026.0,87254143.49,0.0002,True
CL-H63,Clinic Services - UM St. Joseph (CCN 210063) 340B,,Ambulatory,RVUs,derived from SUB,2018.0,2026.0,66682637.37,0.0001,True
CRH,Chronic Care,A18,Daily service,Patient days,CCD;SUB;S500,2017.0,2026.0,533703595.82,1.0,True
DEF,Definitive Observation,A5,Daily service,Patient days,CCD;SUB,2017.0,2026.0,1456388140.87,1.0,True
