rate_center,center_name,schedule,category,unit_of_rate,source
MSG,Medical Surgical Acute,A1,Daily service,Patient days,CCD;SUB;S500
PED,Pediatrics Acute,A2,Daily service,Patient days,CCD;SUB;S500
PSY,Psychiatric Acute,A3,Daily service,Patient days,CCD;SUB;S500
OBS,Obstetrics Acute,A4,Daily service,Patient days,CCD;SUB
DEF,Definitive Observation,A5,Daily service,Patient days,CCD;SUB
MIS,Medical Surgical Intensive Care,A6,Daily service,Patient days,CCD;SUB;S500
CCU,Coronary Care,A7,Daily service,Patient days,CCD;SUB;S500
PIC,Pediatric Intensive Care,A8,Daily service,Patient days,CCD;SUB;S500
NEO,Neonatal Intensive Care,A9,Daily service,Patient days,CCD;SUB;S500
BUR,Burn Care,A10,Daily service,Patient days,CCD;SUB;S500
TRM,Shock Trauma,A12,Daily service,Patient days,CCD;SUB;S500
ONC,Oncology,A13,Daily service,Patient days,CCD;SUB;S500
NUR,Newborn Nursery,A14,Daily service,Patient days,CCD;SUB;S500
PRE,Premature Nursery,A15,Daily service,Patient days,CCD;SUB;S500
RHB,Rehabilitation,A16,Daily service,Patient days,CCD;SUB;S500
CRH,Chronic Care,A18,Daily service,Patient days,CCD;SUB;S500
PAD,Psychiatric - Adult,A19,Daily service,Patient days,CCD;SUB;S500
PCD,Psychiatric - Child/Adolescent,A20,Daily service,Patient days,CCD;SUB;S500
PSG,Psychiatric - Geriatric,A21,Daily service,Patient days,CCD;SUB;S500
RDS,Respiratory Dependent,A25,Daily service,Patient days,CCD;SUB
ADD,Adolescent Neuropsychiatry - Dual Diagnosed,A26,Daily service,Patient days,CCD;SUB
PSD,Pediatric Step Down,A36,Daily service,Patient days,CCD;SUB;S500
PSI,Psychiatric Intensive Care,,Daily service,Patient days,S500
EMG,Emergency Services,B1,Ambulatory,RVUs,CCD;SUB;S500
CL,Clinic Services,B2,Ambulatory,RVUs,CCD;SUB;S500
PDC,Psychiatric Day and Night Care Services,B5,Ambulatory,Visits,CCD;SUB;S500
SDS,Same Day Surgery,B6,Ambulatory,Patients,CCD;SUB;S500
FSE,Free Standing Emergency Services,B7,Ambulatory,Visits,CCD;SUB;S500
OBV,Observation,B11,Ambulatory,Hours,CCD;SUB;S500
TRU,Shock Trauma Resuscitation,,Ambulatory,RVUs,SUB
OCL,Oncology Clinic,,Ambulatory,Visits,SUB;S500
LIT,Lithotripsy,C1,Ancillary,Procedures,CCD;SUB;S500
DEL,Labor and Delivery Services,C2,Ancillary,Maryland RVUs,CCD;SUB;S500
OR,Operating Room,C3,Ancillary,Minutes,CCD;SUB;S500
ANS,Anesthesiology,C4,Ancillary,Minutes,CCD;SUB;S500
LAB,Laboratory Services,C5,Ancillary,Maryland RVUs,CCD;SUB;S500
EKG,Electrocardiography,C6,Ancillary,1974 California RVU,CCD;SUB;S500
EEG,Electroencephalography,C7,Ancillary,1974 California RVU,CCD;SUB;S500
RAD,Radiology - Diagnostic,C8,Ancillary,1977 HSCRC RVU,CCD;SUB;S500
RAT,Radiology - Therapeutic,C9,Ancillary,1977 HSCRC RVU,CCD;SUB;S500
NUC,Nuclear Medicine,C10,Ancillary,1977 HSCRC RVU,CCD;SUB;S500
CAT,CAT Scanner,C11,Ancillary,HSCRC RVUs,CCD;SUB;S500
RES,Respiratory Therapy,C13,Ancillary,Maryland RVUs,CCD;SUB;S500
PUL,Pulmonary Function Testing,C14,Ancillary,Maryland RVUs,CCD;SUB;S500
RDL,Renal Dialysis,C15,Ancillary,Treatments,CCD;SUB;S500
PTH,Physical Therapy,C16,Ancillary,1974 California RVU,CCD;SUB;S500
OTH,Occupational Therapy,C17,Ancillary,Maryland RVUs,CCD;SUB;S500
STH,Speech Language Pathology,C18,Ancillary,Maryland RVUs,CCD;SUB;S500
OA,Organ Acquisition,C19,Ancillary,Treatments,CCD;SUB;S500
LEU,Leukopheresis,C21,Ancillary,JHH RVU,CCD;SUB;S500
HYP,Hyperbaric Chamber,C22,Ancillary,Hours of treatment,CCD;SUB;S500
AUD,Audiology,C23,Ancillary,Maryland RVUs,CCD;SUB;S500
MRI,Magnetic Resonance Imaging,C25,Ancillary,Procedures or RVUs,CCD;SUB;S500
AMR,Ambulance Services Rebundled,C26,Ancillary,HSCRC RVUs,CCD;SUB;S500
ADM,Admission Services,C28,Ancillary,Patients,CCD;SUB
MSS,Medical Surgical Supplies,C29,Ancillary,EIPA,CCD;SUB;S500
